Time Stamp [ms],Unnamed: 0,Sensor 1,Sensor 2,Sensor 3,Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2),Acceleration Magnitude (m/s^2),Velocity Magnitude (m/s),Displacement Position Magnitude (m),Event?
4650,31,186,293,211,2.32366487183182,4.120364806563732,6.718955600789973,-0.2715492462187772,-7.563475304708753,-17.787146116997942,True
4800,32,186,293,193,2.270980933693627,4.136842014323198,6.864512159933916,-0.1584703386018411,-7.587245855499029,-18.9252329953228,True
4950,33,167,292,196,2.191423803065665,4.131553365504795,7.0022510358299,-0.0682500134459704,-7.597483357515925,-20.064855498950187,True
5100,34,185,293,209,2.084100022440313,4.106870254815435,7.130368228753118,-0.0003316466334002,-7.597533104510934,-21.204485464626828,True
5250,35,166,286,191,1.9485392447326708,4.064933725523987,7.247528332927788,0.0463776502268462,-7.590576456976907,-22.343071933173363,True
5400,36,167,290,192,1.7847256832932237,4.007586839979186,7.352797995910135,0.0734276464326271,-7.579562310012013,-23.48000627967517,True
5550,37,185,277,189,1.5932058359945576,3.9363850645218177,7.445706753184725,0.0829028327494505,-7.567126885099596,-24.615075312440105,False
5700,38,168,274,190,1.374999523854149,3.852518863861038,7.526072260373002,0.077202319625627,-7.555546537155752,-25.748407293013468,False
5850,39,167,288,192,1.1315938671455503,3.7572336060378566,7.594334133577032,0.0594935380068299,-7.546622506454728,-26.88040066898168,False
6000,40,166,291,208,0.86511042480554,3.651456195967415,7.651048624170407,0.0330653695437543,-7.541662701023165,-28.011650074135154,False
6150,41,166,291,208,0.5782271985565082,3.5360446949732074,7.697038525435293,0.0014561206835335,-7.541444282920636,-29.14286671657325,False
6300,42,166,291,192,0.274099923647576,3.411908824745649,7.733376092624843,-0.0316469092952989,-7.54619131931493,-30.27479541447049,False
6450,43,166,292,192,-0.0435708474738514,3.2800180757371136,7.761231762163947,-0.0626972331063804,-7.555595904280888,-31.408134800112624,False
6600,44,166,292,208,-0.3706527976274285,3.141478734803384,7.781978559191748,-0.0883518869578807,-7.56884868732457,-32.54346210321131,False
6750,45,166,292,211,-0.7026459622001486,2.997547709904582,7.796954667023778,-0.1058668939948024,-7.58472872142379,-33.68117141142488,False
6900,46,166,292,206,-1.0347433031931,2.849671927724092,7.807565241633874,-0.1131532328394389,-7.601701706349706,-34.82142666737733,False
7050,47,166,292,207,-1.3619981428763297,2.699554030487573,7.815166385597301,-0.1089719865871003,-7.618047504337771,-35.964133793028,False
7200,48,185,278,188,-1.679364592202008,2.5489197685959466,7.8211606455821086,-0.0929750736573105,-7.631993765386368,-37.10893285783595,True
7350,49,167,289,207,-1.981860116616668,2.3997981706200946,7.826690220684805,-0.065857984822351,-7.641872463109721,-38.25521372730241,True
7500,50,166,291,192,-2.264602513132357,2.254188733557675,7.833054979750523,-0.0289759844070491,-7.6462188607707775,-39.40214655641803,True
7650,51,166,292,190,-2.52309902747626,2.114146847006914,7.841339829766849,0.0155722605298542,-7.643883021691299,-40.548729009671725,True
7800,52,185,294,208,-2.753185591359259,1.9816074338553904,7.852371507148188,0.0650670207373913,-7.634122968580691,-41.69384745495883,True
7950,53,167,293,207,-2.9512853890659643,1.858573938103251,7.867030490606708,0.1168183856390676,-7.6166002107348305,-42.83633748656905,True
8100,54,166,278,205,-3.114490036947007,1.746695282764781,7.885869854624441,0.1679930020012108,-7.591401260434649,-43.97504767563425,True
8250,55,185,276,187,-3.2406036430624177,1.6473998909127463,7.909381785038976,0.2161353557867364,-7.558980957066638,-45.10889481919425,True
8400,56,166,290,209,-3.3282235418378736,1.561982840035026,7.937724193776682,0.25914142902697,-7.520109742712593,-46.236911280601134,True
8550,57,167,292,195,-3.376798958512531,1.4909296427184968,7.97095664486704,0.2955014927215416,-7.475784518804362,-47.35827895842179,True
8700,58,185,294,193,-3.3866098623889807,1.4348267959260337,8.008768759327548,0.3242811234194072,-7.427142350291451,-48.47235031096551,True
8850,59,167,293,207,-3.3587848239813733,1.3937416148960573,8.050773683620184,0.3452863029080415,-7.375349404855244,-49.5786527216938,True
9000,60,166,293,196,-3.2953289297595125,1.36738993396791,8.09623780043592,0.3588093128856187,-7.321528007922401,-50.67688192288216,True
9150,61,166,293,194,-3.199047656505674,1.354982487839636,8.144295452290002,0.365668340760795,-7.266677756808282,-51.7668835864034,False
9300,62,167,277,188,-3.07342129302907,1.3554388981322916,8.193899245729247,0.367005777088556,-7.2116268902449985,-52.84862761994015,False
9450,63,185,292,192,-2.922607905348358,1.3673988850849592,8.243897949352743,0.3641908758393484,-7.156998258869097,-53.92217735877052,False
9600,64,167,278,205,-2.7514272532184565,1.3892537111848882,8.292872661273421,0.3584758939298602,-7.103226874779618,-54.98766138998746,False
9750,65,167,275,191,-2.564970895977818,1.4191964907909116,8.339430769040149,0.3509666284142287,-7.050581880517484,-56.04524867206508,False
9900,66,166,290,193,-2.368853293742697,1.4552288313939208,8.382154763657788,0.3424993038908255,-6.99920698493386,-57.09512971980516,False
10050,67,185,294,208,-2.168796800593356,1.4952207035616003,8.41954660118277,0.3333482229334805,-6.949204751493838,-58.13751043252923,False
10200,68,186,280,192,-1.9706594262339805,1.537077485630809,8.45012982288451,0.3232920957876235,-6.900710937125695,-59.17261707309809,False
10350,69,168,276,190,-1.78029468601286,1.5787358469350732,8.472435209145946,0.3115510633909863,-6.853978277617046,-60.200713814740645,False
10500,70,185,292,192,-1.6034070779763416,1.6181679527956292,8.485121079963223,0.2969169511576055,-6.809440734943405,-61.22212992498216,False
10650,71,167,278,205,-1.4454762734676363,1.6535020787828425,8.486985075172127,0.2778722641451843,-6.767759895321627,-62.2372939092804,False
10800,72,166,291,191,-1.3114872075312285,1.6829765028220909,8.476802667163277,0.2525238109116134,-6.729881323684886,-63.24677610783313,False
10950,73,166,293,190,-1.2059921945384893,1.705017909548233,8.453595906180064,0.2190659076624204,-6.697021437535523,-64.25132932346345,False
11100,74,167,279,188,-1.1329674393919336,1.7182710774863388,8.416541410302365,0.1758622020452946,-6.670642107228729,-65.25192563954776,False
11250,75,186,293,207,-1.0956090700316434,1.7216301204155864,8.365050437275034,0.1216910458371369,-6.652388450353159,-66.24978390710073,False
11400,76,186,295,193,-1.0963832350100642,1.7142123735418215,8.298770174033814,0.0559216579337693,-6.6440002016630935,-67.2463839373502,False
11550,77,167,278,194,-1.1369107881096434,1.6953370616613226,8.217560963799038,-0.0213845369646499,-6.647207882207791,-68.24346511968137,False
11700,78,185,293,212,-1.217932992387871,1.6645402194726908,8.121553360724226,-0.1093164349076598,-6.66360534744394,-69.24300592179796,False
11850,79,167,277,190,-1.339251008177143,1.6215992954217893,8.011132386704197,-0.2060796276416407,-6.694517291590186,-70.24718351553649,False
12000,80,166,276,224,-1.4998770418514429,1.566528371614878,7.887020048433115,-0.3089015075516101,-6.740852517722928,-71.25831139319493,False
12150,81,185,292,214,-1.697830332043999,1.499453898628557,7.750265384643042,-0.4141737365779452,-6.80297857820962,-72.27875817992637,False
12300,82,167,278,197,-1.9303418835069592,1.4206805938983864,7.602125856820229,-0.5176751637556052,-6.880629852772961,-73.31085265784232,False
12450,83,186,294,206,-2.193930369605132,1.3306987700008106,7.444203344799749,-0.6146530782552597,-6.972827814511249,-74.356776830019,False
12600,84,167,294,196,-2.4844380933155925,1.2301474625385067,7.278401776265706,-0.7001708891632692,-7.077853447885739,-75.41845484720186,False
12750,85,166,295,211,-2.7972892165242422,1.119757217047328,7.106788047838306,-0.7695372066594146,-7.193284028884651,-76.49744745153455,False
12900,86,164,281,285,-3.127535020890081,1.0004185718250094,6.931619455782187,-0.8186274229598984,-7.316078142328636,-77.59485917288384,False
13050,87,180,293,374,-3.469820980554509,0.873060128944232,6.755323967862507,-0.8443135113460922,-7.44272516903055,-78.71126794823843,False
13200,88,133,228,693,-3.818926333321987,0.7386457009104836,6.580268465122109,-0.8447429020400401,-7.5694366043365555,-79.84668343888892,False
13350,89,187,277,645,-4.169548844368288,0.5983450180352698,6.408943428834238,-0.8194065125972738,-7.692347581226146,-81.00053557607283,True
13500,90,241,345,66,-4.516734802203157,0.4532465090221615,6.243697693103441,-0.7692154798907671,-7.807729903209761,-82.1716950615543,True
13650,91,285,459,139,-4.855855623269328,0.3045121508280798,6.086762844867296,-0.6963254283507245,-7.91217871746237,-83.35852186917366,True
13800,92,228,410,392,-5.182645982911583,0.1533878706562569,5.940108170983353,-0.6039936262799923,-8.002777761404369,-84.5589385333843,True
13950,93,150,315,370,-5.493485243895194,0.0010385289096783,5.805443163075976,-0.4960834837865784,-8.077190283972355,-85.77051707598017,True
14100,94,167,307,686,-5.785328163370991,-0.1513819248621212,5.684219854839347,-0.3767540843525818,-8.133703396625242,-86.99057258547396,True
14250,95,167,296,547,-6.055751927178189,-0.3027424109935788,5.577450118653889,-0.2502467018945005,-8.171240401909417,-88.21625864576036,True
14400,96,168,276,266,-6.303057111836602,-0.4518910846607538,5.485854774697697,-0.1204432144479046,-8.189306884076602,-89.44465467837185,True
14550,97,160,288,361,-6.526160645198101,-0.5978223902096067,5.409755836510631,0.009182857301063,-8.187929455481443,-90.67284409669406,True
14700,98,161,290,350,-6.724648425336695,-0.7396132071773784,5.349040819574929,0.1357163925893054,-8.167571996593047,-91.89797989618302,True
14850,99,177,292,79,-6.89861932369684,-0.8763533709866616,5.303334949059285,0.2568535693766787,-8.129043961186545,-93.117336490361,True
15000,100,165,295,679,-7.048678096114589,-1.0073516528242672,5.271848791341691,0.370838194519095,-8.073418232008681,-94.3283492251623,True
15150,101,160,265,556,-7.175949406253724,-1.1319683705673669,5.253594922424386,0.4765815810258491,-8.001930994854803,-95.52863887439052,True
15300,102,162,273,291,-7.281811501369123,-1.2496939681495558,5.247228272214433,0.5733270738210035,-7.915931933781652,-96.71602866445777,True
15450,103,164,269,182,-7.367846613476412,-1.3601317728218152,5.251313325415766,0.6607171512051693,-7.816824361100877,-97.8885523186229,True
15600,104,185,286,112,-7.435840658716908,-1.462969298147686,5.264301376415823,0.7387210070314243,-7.7060162100461636,-99.04445475012984,True
15750,105,183,297,317,-7.487747456648693,-1.558021817149782,5.284563615308464,0.8075806388177185,-7.584879114223506,-100.18218661726335,True
15900,106,168,285,313,-7.525449514435333,-1.6452613137530785,5.310408393060775,0.8675889222922706,-7.4547407758796655,-101.3003977336453,True
16050,107,166,274,193,-7.550731904897093,-1.7247091627673157,5.340315221435109,0.9191463497518252,-7.3168688234168915,-102.39792805715784,True
16200,108,164,288,257,-7.565338549097457,-1.796489821506724,5.372749510159203,0.9626805669324964,-7.172466738377017,-103.47379806791436,True
16350,109,187,295,139,-7.570847094065711,-1.8608153988463587,5.406433037357607,0.9986765495290476,-7.02266525594766,-104.52719785630651,True
16500,110,168,300,186,-7.568649513958113,-1.918042152389611,5.440292914486821,1.0276315108377414,-6.868520529321999,-105.55747593570484,True
16650,111,189,285,134,-7.559919689657563,-1.968542335529718,5.473476478585602,1.050006814650683,-6.711019507124396,-106.56412886177348,True
16800,112,169,285,225,-7.545629807718347,-2.012814237576445,5.505448454641437,1.0663171156132574,-6.551071939782408,-107.54678965274084,True
16950,113,166,277,193,-7.526520455977919,-2.0513976504969795,5.535912194627218,1.0770464871893335,-6.389514966704008,-108.50521689774644,False
17100,114,164,289,216,-7.503093871951315,-2.084926636442201,5.5648024118375385,1.0826532171219243,-6.227116984135719,-109.4392844453668,False
17250,115,185,279,160,-7.475715665545525,-2.114044341287217,5.59232724246296,1.083659793463342,-6.064568015116218,-110.34896964763422,False
17400,116,190,298,149,-7.444600669675599,-2.139449700775926,5.618901018205687,1.0806161984196283,-5.902475585353274,-111.2343409854372,False
17550,117,189,302,159,-7.409812054211617,-2.161833370797177,5.645080547470911,1.0740512770893442,-5.741367893789873,-112.0955461695057,False
17700,118,185,297,190,-7.371378185106695,-2.181894900511757,5.671575047231329,1.0645760969185627,-5.581681479252088,-112.9327983913935,False
17850,119,160,284,678,-7.329213559143501,-2.200248952837146,5.699181371202125,1.052766007486584,-5.423766578129101,-113.74636337811287,False
18000,120,188,274,124,-7.283147376724281,-2.2176822665256086,5.728479112604124,1.0390626481984189,-5.267907180899337,-114.53654945524778,False
18150,121,172,285,109,-7.23313725753597,-2.234704995675713,5.760230231000849,1.0240740654340217,-5.114296071084234,-115.30369386591042,False
18300,122,185,297,207,-7.179156637071321,-2.251786426894768,5.795015286295243,1.0083243065113745,-4.963047425107527,-116.04815097967656,False
18450,123,169,301,160,-7.121187031037921,-2.269352819270529,5.83324353441684,0.9922510451609838,-4.81420976833338,-116.77028244492656,False
18600,124,189,290,165,-7.059330493305418,-2.287758100340064,5.875207317644493,0.9763134744722332,-4.667762747162545,-117.47044685700094,False
18750,125,171,314,554,-6.993728883201262,-2.3072475523454656,5.920879702615206,0.9607912882331372,-4.523644053927574,-118.14899346509009,False
18900,126,167,274,252,-6.924595515293393,-2.328000722716724,5.970172879993039,0.9459705371953716,-4.381748473348269,-118.80625573609233,False
19050,127,186,286,470,-6.852182044486799,-2.3501022889087,6.022704474618491,0.931957174360928,-4.241954897194129,-119.44254897067142,False
19200,128,166,275,250,-6.7767535932389,-2.373760546487167,6.078054061831607,0.9188662018235814,-4.104124966920592,-120.05816771570952,False
19350,129,183,294,390,-6.69862796899095,-2.399026621161783,6.135565416790179,0.9066467251528358,-3.968127958147667,-120.65338690943166,False
19500,130,165,286,254,-6.618112977180751,-2.4261538908014773,6.194622762429334,0.895298318098579,-3.83383321043288,-121.2284618909966,False
19650,131,166,292,170,-6.535454011195229,-2.4551596816768373,6.254347557958161,0.8845204849867869,-3.701155137684862,-121.78363516164931,False
19800,132,182,287,237,-6.45081220916037,-2.4864448677041207,6.313953119948441,0.874089138341251,-3.5700417669336746,-122.31914142668938,False
19950,133,168,295,207,-6.364273710527018,-2.520318809150622,6.37275025890573,0.8637522110420335,-3.440478935277369,-122.835213266981,False
20100,134,185,283,330,-6.275797021975399,-2.557337368629814,6.429856599237918,0.8530925373113583,-3.3125150546806656,-123.33209052518308,False
20250,135,167,281,388,-6.1852040390225,-2.597939927125079,6.484691987377682,0.8417715725220098,-3.186249318802364,-123.81002792300345,False
20400,136,168,292,122,-6.09221960013998,-2.6427121883555302,6.536589235266367,0.8293735322772342,-3.061843288960779,-124.26930441634757,False
20550,137,166,296,219,-5.996471480022685,-2.692329294611089,6.58498595477499,0.8155342396105709,-2.939513153019193,-124.71023138930045,False
20700,138,167,301,227,-5.897534058249396,-2.7472084840308466,6.629283110935659,0.7997812420360972,-2.8195459667137786,-125.13316328430751,False
20850,139,190,288,116,-5.794891872561532,-2.8079606671092496,6.668999762970116,0.7817583882811814,-2.702282208471601,-125.53850561557826,False
21000,140,182,279,369,-5.6880961247170845,-2.874915043449192,6.70358812989552,0.7610617733109617,-2.588122942474957,-125.9267240569495,False
21150,141,166,280,431,-5.576645854224028,-2.9482463852262164,6.732498103034657,0.7372465834770345,-2.4775359549534017,-126.2983544501925,False
21300,142,168,272,217,-5.460085038674739,-3.027792903398826,6.75501861468341,0.7097106038637904,-2.3710793643738333,-126.65401635484858,False
21450,143,167,295,248,-5.338185656039924,-3.113345321870742,6.770327488654305,0.6779188254729647,-2.2693915405528884,-126.99442508593152,False
21600,144,168,296,150,-5.210720020166736,-3.204115053488401,6.777431208076804,0.6410288944435933,-2.173237206386349,-127.32041066688946,False
21750,145,187,301,132,-5.077659565994884,-3.29911402659034,6.775182080256882,0.5981195634581429,-2.083519271867628,-127.6329385576696,False
21900,146,163,299,297,-4.9392220809508665,-3.3969598422082248,6.7621620324611085,0.5480306873603613,-2.0013146687635737,-127.93313575798416,False
22050,147,168,280,228,-4.79572798921286,-3.4960489764684484,6.736791856536776,0.4893923610981101,-1.9279058145988568,-128.22232163017398,False
22200,148,185,297,429,-4.647741826092231,-3.5943298239348325,6.697190878960206,0.4204798725654655,-1.864833833714037,-128.5020467052311,False
22350,149,187,277,150,-4.495985193157261,-3.6896412778068575,6.641323692110568,0.3393757608884513,-1.8139274695807697,-128.7741358256682,False
22500,150,166,280,247,-4.341314822023886,-3.779613500727869,6.566959474761253,0.2438741104426167,-1.7773463530143772,-129.04073777862035,False
22650,151,185,293,275,-4.184722596456416,-3.861786946758969,6.4717585067720815,0.131587460077954,-1.757608234002684,-129.30437901372076,False
22800,152,170,299,154,-4.027280357333251,-3.93369335295315,6.3533225301200416,0.0,-1.757608234002684,-129.56802024882117,False
22950,153,186,285,188,-3.870198276077134,-3.992939286256858,6.2094223441266045,-0.1532751343183189,-1.780599504150432,-129.83511017444374,False
23100,154,167,279,185,-3.714648751057043,-4.037309088838607,6.037869128841958,-0.3305924684813579,-1.830188374422636,-130.1096384306071,False
23250,155,167,278,189,-3.5617771137196064,-4.064852341178979,5.83676741269632,-0.533984410872069,-1.910286036053446,-130.39618133601516,False
23400,156,186,281,189,-3.4127756130846256,-4.074033528607336,5.604594858409354,-0.764929871152515,-2.025025516726324,-130.69993516352412,False
23550,157,167,293,205,-3.2687044768429963,-4.063689443639001,5.34042425260719,-1.0242191048593234,-2.1786583824552217,-131.0267339208924,False
23700,158,166,280,211,-3.1305078507567226,-4.033119240529621,5.043900752163445,-1.3118347526363872,-2.37543359535068,-131.38304896019503,False
23850,159,186,296,200,-2.999062286797691,-3.982145445751966,4.715532050995272,-1.6266001186815888,-2.6194236131529185,-131.77596250216797,False
24000,160,169,285,202,-2.875127003796429,-3.9111840148454498,4.356666296553943,-1.966081153810037,-2.914335786224424,-132.21311287010164,False
24150,161,186,297,216,-2.759201784858708,-3.8212446784626346,3.969563078706811,-2.3264910158116088,-3.2633094385961656,-132.70260928589107,False
24300,162,186,298,201,-2.6517866532039496,-3.7138308993416222,3.55748923609806,-2.7024656512159453,-3.668679286278557,-133.25291117883285,False
24450,163,167,281,184,-2.553156473596008,-3.591011483768535,3.12474154301922,-3.087012359323173,-4.131731140177033,-133.8726708498594,False
24600,164,167,279,191,-2.4634430597465355,-3.4553578000763694,2.676590830204061,-3.4714878016985136,-4.65245431043181,-134.57053899642415,False
24750,165,186,296,206,-2.3826272550895107,-3.3099006435297413,2.219200727653497,-3.845703110400765,-5.229309776991924,-135.35493546297295,False
24900,166,167,282,194,-2.31061405017792,-3.157990041057561,1.7595908359993513,-4.198222702426984,-5.859043182355972,-136.23379194032634,False
25050,167,171,302,157,-2.2471728736684224,-3.003253000715802,1.305317880986696,-4.5171320766379,-6.536612993851657,-137.2142838894041,False
25200,168,167,298,186,-2.1919464234666584,-2.849464013345721,0.8645256775125465,-4.791180719385356,-7.25529010175946,-138.30257740466803,False
25350,169,166,298,247,-2.1444984486856624,-2.700515332396852,0.445497731310599,-5.011591336955101,-8.007028802302726,-139.50363172501343,False
25500,170,172,298,242,-2.10439973357952,-2.5601937737888423,0.0565466529117292,-5.174120053301529,-8.783146810297955,-140.82110374655812,False
25650,171,205,313,143,-2.0711642782064223,-2.432164742942391,-0.29429543080768,-5.280600248880825,-9.575236847630078,-142.25738927370264,False
25800,172,154,289,352,-2.044308921019933,-2.3197624859995525,-0.5995461137382829,-5.339081416779639,-10.376099060147023,-143.8138041327247,False
25950,173,165,290,194,-2.0234252991736965,-2.225978814500733,-0.8524787272859575,-5.362025205361238,-11.18040284095121,-145.49086455886737,False
26100,174,162,290,180,-2.00813287489528,-2.153341638049508,-1.0474243698490515,-5.363524922976618,-11.984931579397704,-147.28860429577702,False
26250,175,166,281,171,-1.9980993543741887,-2.103774493589874,-1.1799335992941935,-5.356503427416259,-12.78840709351014,-149.20686535980354,False
26400,176,166,296,182,-1.993151938511885,-2.078620062496415,-1.2469591030086495,-5.350489169628085,-13.590980468954356,-151.2455124301467,False
